0, 0, uniform, 1, 1041.55, 218779
0, 0, Zipfian, 1, 922.742, 218779
0, 1, uniform, 0.896687, 1532.85, 124269
0, 1, Zipfian, 0.891009, 1624.08, 124269
0, 2, uniform, 0.99334, 1038.71, 132461
0, 2, Zipfian, 0.994728, 977.325, 132461
0, 3, uniform, 0.999317, 987.225, 140653
0, 3, Zipfian, 0.999573, 951.027, 140653
0, 4, uniform, 1, 972.572, 148845
0, 4, Zipfian, 1, 874.289, 148845
0, 5, uniform, 1, 978.302, 157037
0, 5, Zipfian, 1, 883.527, 157037
1, 0, uniform, 0.881468, 1070.45, 218779
1, 0, Zipfian, 0.907723, 1260.66, 218779
1, 1, uniform, 0.869856, 995.876, 128869
1, 1, Zipfian, 0.885267, 1179.79, 128869
1, 2, uniform, 0.880785, 1001.86, 137061
1, 2, Zipfian, 0.899462, 1200.1, 137061
1, 3, uniform, 0.881297, 1008.56, 145253
1, 3, Zipfian, 0.907595, 1220.43, 145253
1, 4, uniform, 0.881468, 1018.56, 153445
1, 4, Zipfian, 0.907723, 1216.65, 153445
1, 5, uniform, 0.881468, 1018.1, 161637
1, 5, Zipfian, 0.907723, 1218.24, 161637
2, 0, uniform, 1, 1221.95, 218779
2, 0, Zipfian, 1, 1363.87, 218779
2, 1, uniform, 0.896346, 1639.63, 128869
2, 1, Zipfian, 0.894873, 1745.27, 128869
2, 2, uniform, 0.997268, 1143.98, 137061
2, 2, Zipfian, 0.992806, 1307.34, 137061
2, 3, uniform, 0.999488, 1135.35, 145253
2, 3, Zipfian, 0.999402, 1301.01, 145253
2, 4, uniform, 1, 1133.15, 153445
2, 4, Zipfian, 1, 1297.81, 153445
2, 5, uniform, 1, 1141.7, 161637
2, 5, Zipfian, 1, 1305.21, 161637
0, 0, uniform, 1, 1034.13, 218779
0, 0, Zipfian, 1, 915.107, 218779
0, 1, uniform, 0.896687, 1527.31, 124269
0, 1, Zipfian, 0.891009, 1627.81, 124269
0, 2, uniform, 0.99334, 1032.29, 132461
0, 2, Zipfian, 0.994728, 980.457, 132461
